short_name,long_name,Census Tract,2007-2011,2012-2016
hh_inc_med_adj,Median household income ($2017),36005008900,20390.6446846818,27233.8303115448
hh_inc_med_adj,Median household income ($2017),36005009000,26727.5597251714,29191.4116150589
hh_inc_med_adj,Median household income ($2017),36005009200,44191.4732074375,39465.6547377214
hh_inc_med_adj,Median household income ($2017),36005009300,34055.2274764046,31414.082053424
hh_inc_med_adj,Median household income ($2017),36005009600,47067.2576074407,48174.8523911681
hh_inc_med_adj,Median household income ($2017),36005009800,57330.3283572449,55064.1111765041
hh_inc_med_adj,Median household income ($2017),36005011000,,
hh_inc_med_adj,Median household income ($2017),36005011502,21264.3281473288,22757.9022269474
hh_inc_med_adj,Median household income ($2017),36005011700,12803.9070233088,27018.7002828774
hh_inc_med_adj,Median household income ($2017),36005011800,80163.1676341647,86712.6951569115
hh_inc_med_adj,Median household income ($2017),36005011900,22887.0380028904,23678.5771837564
hh_inc_med_adj,Median household income ($2017),36005012101,36353.2534575606,29867.3889089287
hh_inc_med_adj,Median household income ($2017),36005012102,13355.6500536901,19057.8696485866
hh_inc_med_adj,Median household income ($2017),36005012300,19093.1271849442,24953.0441782317
hh_inc_med_adj,Median household income ($2017),36005012500,34952.7583784788,28914.0875970611
hh_inc_med_adj,Median household income ($2017),36005012701,16194.5793200333,19144.5334042109
hh_inc_med_adj,Median household income ($2017),36005012901,19211.2804075602,20639.2282953316
hh_inc_med_adj,Median household income ($2017),36005013000,88774.2612163832,77985.1451787443
hh_inc_med_adj,Median household income ($2017),36005013100,27281.4707045915,29683.8656617242
hh_inc_med_adj,Median household income ($2017),36005013200,88869.6509740915,102220.409545688
hh_inc_med_adj,Median household income ($2017),36005013300,21445.3518920708,22156.353805555
hh_inc_med_adj,Median household income ($2017),36005013500,20267.0715894687,26454.8760845215
hh_inc_med_adj,Median household income ($2017),36005013800,73078.31017528,71979.8567007765
hh_inc_med_adj,Median household income ($2017),36005014100,30375.1339829968,31003.1938944051
hh_inc_med_adj,Median household income ($2017),36005014300,17933.274449172,17121.6993905796
hh_inc_med_adj,Median household income ($2017),36005014400,25630.5775115252,24504.4317961764
hh_inc_med_adj,Median household income ($2017),36005014500,23629.5605486884,24776.6579461963
hh_inc_med_adj,Median household income ($2017),36005014701,18403.7193905974,16486.5050405331
hh_inc_med_adj,Median household income ($2017),36005014702,19454.0906999088,18633.7270328252
hh_inc_med_adj,Median household income ($2017),36005014900,29809.2992838631,25547.455584455
hh_inc_med_adj,Median household income ($2017),36005015100,29884.0935257026,33423.6616103127
hh_inc_med_adj,Median household income ($2017),36005015200,61651.050791626,71819.7836462704
hh_inc_med_adj,Median household income ($2017),36005015300,22187.8744378689,19020.1454255501
hh_inc_med_adj,Median household income ($2017),36005015500,28205.0169951316,17779.3243597289
hh_inc_med_adj,Median household income ($2017),36005015700,30680.8147974713,34319.8668008277
hh_inc_med_adj,Median household income ($2017),36005015800,56266.9493537006,68428.6818673704
hh_inc_med_adj,Median household income ($2017),36005015900,18617.2623709218,15327.2498623583
hh_inc_med_adj,Median household income ($2017),36005016000,83929.9790891255,82075.6744442124
hh_inc_med_adj,Median household income ($2017),36005016100,19794.4586990045,15930.8374309418
hh_inc_med_adj,Median household income ($2017),36005016200,96654.7559725171,72199.0650238262
hh_inc_med_adj,Median household income ($2017),36005016300,,
hh_inc_med_adj,Median household income ($2017),36005016400,86853.458367983,66272.2837127181
hh_inc_med_adj,Median household income ($2017),36005016500,34455.2140740681,25928.7761092021
