,census_tract,median_income_07_to_11,median_income_12_to_16,median_rent_07_to_11,median_rent_12_to_16
37,36005048400,61425.584091587996,70095.6846961441,,
38,36005050400,,,,985.927666926129
39,36005051600,72109.2369549245,81969.638790272,,
40,36047000100,95179.4666515958,88898.66094583561,,1506.9297742676501
41,36047000200,34392.3435519421,49340.225010916394,1106.73798432088,1352.97416133503
42,36047000301,180314.82540630898,114560.308772996,,
43,36047000501,98912.6748964548,126636.13843904801,,1931.07239002905
44,36047000502,101432.91565409099,102778.11630247,1809.15347290064,2037.1080439694001
45,36047000700,146390.75884675301,136084.526949291,1912.1310522448898,2156.3981546522896
46,36005000200,68777.0992822484,72280.63091147269,,
47,36005000400,82088.3063806425,78167.6488523532,,
48,36005001600,36757.5759533017,32157.351204602,907.286672748852,963.497047823363
49,36005001900,28498.7740898925,39895.9147950563,1119.74567855384,1156.19645738804
50,36005002000,26918.339240588102,17417.3757332979,550.6590558619081,621.93989330397
51,36005002300,13499.818664772,16826.023047861298,407.574419299365,425.162189356976
52,36005002400,,,,
53,36005002500,15645.0042386908,21472.2199229207,515.971871240685,705.544928141553
54,36005002701,26437.0545539686,18769.3303210373,629.789195779071,455.749397224384
55,36005002702,21183.0300583728,16313.1775292845,763.118061666895,981.8493725438079
56,36005002800,51340.2851629676,50142.629430638095,978.828991030123,955.340459058721
57,36005003100,40288.0809630305,45983.788734266105,1023.2719463260601,1045.06293546979
58,36005003300,22405.753316270897,20664.717635221103,584.2622659637169,638.253070833254
59,36005003500,29901.437118013197,26576.205342395497,773.957806861028,897.224764110645
60,36047054200,46165.390807288895,48236.026806903,1217.3033853010302,1384.58094279802
61,36047054300,71051.2778239773,121584.151272948,2032.4522238997602,2633.55859738386
62,36047054400,71083.7970595597,46220.3298084408,1248.73864636401,1257.1342433504801
63,36047054500,23838.7676309352,18483.8497142749,439.00968036234804,448.61238205532203
64,36047054600,35140.2859703372,38361.456533708,1208.63158914572,1276.50614166651
65,36047054700,34654.665385640095,42230.7383289351,969.073220355404,1467.1664040400199
66,36047054800,57401.8706755262,61950.3112410533,,
67,36047054900,61177.353926642405,92398.8570994627,,2422.50686309874
68,36047055000,36494.1701450843,57119.571545193896,1067.7149016220098,1259.17339054164
69,36047055100,55680.519138698,74022.06261272379,1258.49441703873,1355.01330852619
70,36047055200,51093.1389725414,40937.9190097393,1181.53222616039,1229.60575626982
71,36047055300,62836.91891586401,98700.84149374439,1463.3656012078302,2122.75222599814
72,36047033000,24959.5972840084,23896.7659332106,574.506495288998,548.53059442219
73,36047033100,32054.2105135679,38137.150342680296,988.5847617048421,1244.8993602035198
74,36047033300,45730.717025004196,43813.1165492757,1107.82195884029,1298.9367607692698
75,36047033500,58715.647793055,53867.1317752928,,1338.70013099691
76,36047033600,66636.2496064073,73211.5016042375,1298.6014742570198,
77,36047033700,44917.7361354443,55790.0475765572,1164.1886338497802,1325.4456742543598
78,36047033900,42270.6703590373,37285.8063903708,1039.53156411726,1040.98464108746
79,36047034000,23861.5310958429,21240.7767167239,596.185985677262,475.1212955404099
80,36047034100,41088.0541583575,51355.922009378606,1043.8674621949199,1327.4848214455199
81,36005018500,26068.5032173681,29053.7691796556,930.0501376565289,945.144723102918
82,36005018900,29229.372915977,22444.8931331042,1063.3790035443499,1073.6109961460302
83,36005019300,19666.549705713798,22940.4059005563,768.537934263961,852.3635259051131
84,36005019400,53076.8123430675,56925.8525620337,1750.6188488523198,1500.81233269417
85,36005019500,41867.4318378156,27828.2417177681,1017.8520737289999,1111.3352191825
86,36005019700,32170.195787145098,22039.1028420633,1060.12707998611,1130.7071174985301
87,36005019900,28161.658014355,34055.7972395725,983.164889107776,1146.00072143223
88,36005020000,34252.5108389378,45576.9788696296,1090.47836652968,1204.1164163803098
89,36005020100,36200.4130503234,30873.708047766402,1050.3713093113902,1108.27649839576
