,zipcode,median_income,mean_income,population,City_zill,State_zill,Metro_zill,CountyName_zill,SizeRank_zill,2010-02_zill,2010-03_zill,2010-04_zill,2010-05_zill,2010-06_zill,2010-07_zill,2010-08_zill,2010-09_zill,2010-10_zill,2010-11_zill,2010-12_zill,2011-01_zill,2011-02_zill,2011-03_zill,2011-04_zill,2011-05_zill,2011-06_zill,2011-07_zill,2011-08_zill,2011-09_zill,2011-10_zill,2011-11_zill,2011-12_zill,2012-01_zill,2012-02_zill,2012-03_zill,2012-04_zill,2012-05_zill,2012-06_zill,2012-07_zill,2012-08_zill,2012-09_zill,2012-10_zill,2012-11_zill,2012-12_zill,2013-01_zill,2013-02_zill,2013-03_zill,2013-04_zill,2013-05_zill,2013-06_zill,2013-07_zill,2013-08_zill,2013-09_zill,2013-10_zill,2013-11_zill,2013-12_zill,2014-01_zill,2014-02_zill,2014-03_zill,2014-04_zill,2014-05_zill,2014-06_zill,2014-07_zill,2014-08_zill,2014-09_zill,2014-10_zill,2014-11_zill,2014-12_zill,2015-01_zill,2015-02_zill,2015-03_zill,2015-04_zill,2015-05_zill,2015-06_zill,2015-07_zill,2015-08_zill,2015-09_zill,2015-10_zill,2015-11_zill,2015-12_zill,2016-01_zill,2016-02_zill,2016-03_zill,2016-04_zill,2016-05_zill,2016-06_zill,2016-07_zill,2016-08_zill,2016-09_zill,2016-10_zill,2016-11_zill,2016-12_zill,2017-01_zill,2017-02_zill,2017-03_zill,2017-04_zill,2017-05_zill,2017-06_zill,2017-07_zill,2017-08_zill,2017-09_zill,2017-10_zill,2017-11_zill,2017-12_zill,2018-01_zill,2018-02_zill,2018-03_zill,2018-04_zill,2018-05_zill,2018-06_zill,2018-07_zill,2018-08_zill,2018-09_zill,2018-10_zill,2018-11_zill,2018-12_zill,2019-01_zill,restaurant_count,recycling_bin_count
118,11221,34005.1582,46669.9113,75020,New York,NY,New York-Newark-Jersey City,Kings County,64.0,,,,,,,,,,,,,,,,,,,,,1600.0,1675.0,1600.0,1535.0,1599.0,1600.0,1650.0,1650.0,1712.5,1800.0,1800.0,1750.0,1700.0,1725.0,1725.0,1750.0,1750.0,1800.0,1900.0,2000.0,1995.0,1950.0,2000.0,2100.0,2200.0,2200.0,2200.0,2200.0,2100.0,2050.0,2100.0,2225.0,2200.0,2399.5,2400.0,2425.0,2500.0,2500.0,2400.0,2399.5,2200.0,2250.0,2350.0,2500.0,2500.0,2500.0,2500.0,2500.0,2563.0,2599.0,2600.0,2699.0,2600.0,2594.5,2500.0,2500.0,2500.0,2495.0,2550.0,2500.0,2700.0,2700.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2500.0,2400.0,2449.0,2524.5,2472.5,2400.0,2200.0,2400.0,2497.5,2825.0,2547.5,2572.5,2495.0,2400.0,2500.0,2595.0,2500.0,2375.0,2295.0,2400.0,142.0,0.0
119,11222,54366.9033,69808.6353,40003,New York,NY,New York-Newark-Jersey City,Kings County,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2737.5,2800.0,2800.0,3100.0,2900.0,2900.0,3150.0,2850.0,2850.0,2995.0,2800.0,2700.0,2795.0,2800.0,2550.0,2672.5,2900.0,2800.0,3000.0,3050.0,2950.0,3000.0,2997.5,2900.0,2800.0,2900.0,227.0,9.0
120,11223,39420.9802,53995.6663,74659,New York,NY,New York-Newark-Jersey City,Kings County,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0,1950.0,1850.0,2000.0,2100.0,2150.0,2200.0,2100.0,2000.0,2000.0,2100.0,2200.0,2100.0,2000.0,1962.5,1999.0,1999.0,2195.0,2000.0,2000.0,2200.0,2100.0,2175.0,1950.0,1950.0,174.0,1.0
121,11224,34958.4279,45362.8356,49491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,3.0
122,11225,39782.409,52484.8359,61858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,2.0
123,11226,38763.3706,49672.5306,106461,New York,NY,New York-Newark-Jersey City,Kings County,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.0,1950.0,1862.5,1850.0,1800.0,1822.5,1822.5,1900.0,1900.0,1850.0,1775.0,1800.0,1800.0,1800.0,1650.0,1650.0,1747.5,1925.0,1650.0,1725.0,1650.0,1550.0,1545.0,1600.0,1700.0,1700.0,1600.0,1575.0,1599.0,1545.0,1574.5,1650.0,1650.0,1650.0,1650.0,1662.5,1699.0,1687.5,1700.0,1750.0,1800.0,1775.0,1800.0,1712.5,211.0,1.0
124,11228,55200.2725,73658.3837,40169,New York,NY,New York-Newark-Jersey City,Kings County,2459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,2200.0,2350.0,2300.0,2200.0,2200.0,2200.0,2200.0,2100.0,2200.0,2200.0,2200.0,56.0,0.0
125,11229,49910.6032,63752.1411,80407,New York,NY,New York-Newark-Jersey City,Kings County,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275.0,2300.0,2200.0,2100.0,2000.0,2175.0,2350.0,2200.0,2500.0,2450.0,2250.0,2200.0,2175.0,2300.0,2100.0,1900.0,1900.0,2100.0,1900.0,2100.0,2050.0,2000.0,1972.5,1912.5,2125.0,2200.0,129.0,2.0
126,11230,47496.1618,64348.0001,88449,New York,NY,New York-Newark-Jersey City,Kings County,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.0,1600.0,1600.0,1700.0,1800.0,1850.0,1700.0,1745.0,1800.0,1697.5,1712.5,1700.0,1700.0,1775.0,1737.5,1700.0,111.0,1.0
127,11231,73074.9877,95031.0349,33174,New York,NY,New York-Newark-Jersey City,New York County,1571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050.0,3200.0,3200.0,3200.0,3100.0,3300.0,3500.0,3300.0,3100.0,2800.0,3200.0,3197.5,3200.0,3200.0,3000.0,3350.0,3200.0,3250.0,3250.0,3500.0,3250.0,3500.0,3200.0,3275.0,3350.0,3200.0,166.0,5.0
128,11232,34807.855,45833.5755,22177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,0.0
129,11233,35422.5954,45326.9526,63541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,2.0
130,11234,67952.9473,77076.9976,81033,New York,NY,New York-Newark-Jersey City,Kings County,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,2500.0,2400.0,2300.0,2442.5,2100.0,2000.0,2150.0,2400.0,2300.0,2500.0,2487.5,2350.0,2350.0,2350.0,2300.0,2200.0,149.0,0.0
