,Unnamed: 0,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket,logincome,logrent,logrestaurant,predicted_inc,difference
35,35,10040,37107.0105,46585,New York County,1600.0,77.0,0.0,0.0,0,10.521561193008557,7.3777589082278725,4.343805421853684,10.637375336481036,-0.11581414347247865
36,36,10065,108154.9505,31500,New York County,4300.0,179.0,0.6931471805599453,18.0,"(6, 72]",11.591320204721015,8.366370301681654,5.187385805840755,11.537706791187238,0.053613413533776466
37,37,10069,54236.0986,1843,New York County,4100.0,3.0,0.6931471805599453,6.0,"(0, 6]",10.901101991561225,8.318742252692399,1.0986122886681098,11.595551614711844,-0.6944496231506196
38,38,10075,112267.5519,25187,New York County,2750.0,93.0,0.0,0.0,0,11.628640157746124,7.919356190660617,4.532599493153256,11.183192966066171,0.4454471916799534
39,39,10128,105186.9788,59434,New York County,2997.5,148.0,0.0,0.0,0,11.563494795959507,8.00553388690167,4.997212273764115,11.143682753816343,0.4198120421431639
40,40,10280,98937.8355,4298,New York County,3500.0,30.0,1.6094379124341003,4.0,"(0, 6]",11.50224700764731,8.160518247477505,3.4011973816621555,11.428310072953787,0.07393693469352236
45,45,10458,25642.1721,77840,Bronx County,1425.0,193.0,2.5649493574615367,11.0,"(6, 72]",10.15199362273508,7.261927092702751,5.262690188904886,10.373652685926311,-0.22165906319123074
46,46,10461,47715.8304,48081,Bronx County,1699.0,156.0,1.6094379124341003,11.0,"(6, 72]",10.773018496032204,7.4377951216719325,5.049856007249537,10.64884704524875,0.12417145078345371
47,47,10462,46085.2485,71130,Bronx County,1519.0,139.0,0.6931471805599453,5.0,"(0, 6]",10.738248188623274,7.325807502595773,4.9344739331306915,10.494007949427278,0.2442402391959959
48,48,10463,52301.5618,62456,Bronx County,2025.0,124.0,1.9459101490553132,7.0,"(6, 72]",10.86478151193984,7.613324979540639,4.820281565605037,10.746691298755128,0.11809021318471302
49,49,10465,61446.3421,41282,Bronx County,1850.0,82.0,0.6931471805599453,0.0,0,11.025919586778148,7.52294091807237,4.406719247264253,10.766709002652396,0.2592105841257517
50,50,10468,28765.1143,76073,Bronx County,1500.0,104.0,1.791759469228055,28.0,"(6, 72]",10.266918622868502,7.313220387090301,4.6443908991413725,10.441794082670723,-0.1748754598022213
51,51,10471,56909.8136,18127,Bronx County,1800.0,51.0,1.9459101490553132,0.0,0,10.949223076244767,7.495541943884256,3.9318256327243257,10.792375709948661,0.1568473662961054
52,52,11101,39955.099,22556,Queens County,2835.0,285.0,0.0,21.0,"(6, 72]",10.595511577593005,7.949797216161852,5.652489180268651,11.218664587584854,-0.6231530099918494
53,53,11104,50944.0617,29376,Queens County,1875.0,108.0,0.0,10.0,"(6, 72]",10.838483480337116,7.536363938404511,4.68213122712422,10.83393986289163,0.004543617445486703
54,54,11109,117750.0,843,New York County,2863.0,6.0,0.0,16.0,"(6, 72]",11.676319011878665,7.959625305098115,1.791759469228055,11.30013495902187,0.3761840528567948
55,55,11201,92174.8101,48101,Kings County,3227.0,429.0,2.5649493574615367,44.0,"(6, 72]",11.431442162888668,8.079308192051961,6.061456918928017,11.18882870807674,0.24261345481192897
56,56,11204,42763.549000000006,74185,Kings County,1675.0,136.0,0.0,12.0,"(6, 72]",10.66344135982392,7.423568444259167,4.912654885736052,10.584842242415624,0.07859911740829695
57,57,11205,42903.7942,35648,Kings County,2700.0,154.0,2.0794415416798357,0.0,0,10.666715543895709,7.90100705199242,5.0369526024136295,11.085447193370136,-0.4187316494744273
58,58,11209,56906.5301,69646,Kings County,1895.0,268.0,1.0986122886681098,10.0,"(6, 72]",10.949165378028603,7.546974117516527,5.5909869805108565,10.6834708563843,0.26569452164430274
59,59,11211,37632.4577,84434,Kings County,2941.5,377.0,1.9459101490553132,34.0,"(6, 72]",10.535622193705594,7.986674934304511,5.932245187448011,10.999689011164467,-0.4640668174588729
60,60,11213,35084.8797,65932,Kings County,2200.0,110.0,1.0986122886681098,13.0,"(6, 72]",10.465525538864778,7.696212639346407,4.700480365792417,10.82654859468981,-0.36102305582503114
61,61,11215,81331.0535,59307,Kings County,2700.0,339.0,1.791759469228055,23.0,"(6, 72]",11.306283184476655,7.90100705199242,5.82600010738045,11.012491667793057,0.2937915166835978
62,62,11216,37290.3205,55021,Kings County,2300.0,185.0,0.0,12.0,"(6, 72]",10.526489067933465,7.7406644019172415,5.220355825078324,10.92667900855797,-0.4001899406245055
63,63,11217,72610.5963,35641,Kings County,3100.0,284.0,1.791759469228055,41.0,"(6, 72]",11.192866144708013,8.039157390473237,5.648974238161206,11.212823940031472,-0.019957795323458427
64,64,11218,48010.6089,75418,Kings County,2100.0,151.0,0.0,16.0,"(6, 72]",10.779177284218981,7.649692623711514,5.017279836814924,10.778608176272318,0.0005691079466636495
65,65,11221,34005.1582,75020,Kings County,2400.0,142.0,0.0,4.0,"(0, 6]",10.434267503855938,7.783224016336037,4.955827057601261,10.896810539097299,-0.4625430352413602
66,66,11222,54366.9033,40003,Kings County,2900.0,227.0,2.302585092994046,11.0,"(6, 72]",10.903510852475975,7.9724660159745655,5.424950017481403,11.128374283097875,-0.22486343062189995
67,67,11223,39420.9802,74659,Kings County,1950.0,174.0,0.6931471805599453,26.0,"(6, 72]",10.58205344594805,7.575584651557793,5.159055299214529,10.700769586198836,-0.11871614025078614
68,68,11226,38763.3706,106461,Kings County,1712.5,211.0,0.6931471805599453,14.0,"(6, 72]",10.565231023008147,7.445709570136381,5.351858133476067,10.480375402938817,0.08485562006933023
69,69,11228,55200.2725,40169,Kings County,2200.0,56.0,0.0,4.0,"(0, 6]",10.918723168847205,7.696212639346407,4.02535169073515,10.937618137955976,-0.01889496910877142
70,70,11229,49910.6032,80407,Kings County,2200.0,129.0,1.0986122886681098,0.0,0,10.81798874814498,7.696212639346407,4.859812404361672,10.77797049468981,0.04001825345516963
71,71,11230,47496.1618,88449,Kings County,1700.0,111.0,0.6931471805599453,20.0,"(6, 72]",10.76840418254737,7.438383530044307,4.709530201312334,10.534411924650236,0.23399225789713363
72,72,11231,73074.9877,33174,New York County,3200.0,166.0,1.791759469228055,12.0,"(6, 72]",11.199241421659213,8.070906088787819,5.111987788356544,11.248889652796393,-0.04964823113717998
73,73,11234,67952.9473,81033,Kings County,2200.0,149.0,0.0,0.0,0,11.126570793178745,7.696212639346407,5.003946305945459,10.800478553955976,0.32609223922276875
74,74,11235,44729.671,79197,Kings County,2000.0,173.0,1.3862943611198906,16.0,"(6, 72]",10.708392341157277,7.600902459542082,5.153291594497779,10.692171706902146,0.01622063425513076
75,75,11238,61468.5107,49085,Kings County,2900.0,250.0,1.9459101490553132,29.0,"(6, 72]",11.026280301528812,7.9724660159745655,5.521460917862246,11.105884609842102,-0.07960430831328935
76,76,11354,50019.4132,54286,Queens County,2300.0,464.0,0.0,0.0,0,10.820166473055322,7.7406644019172415,6.139884552226255,10.92914566855797,-0.10897919550264845
77,77,11355,38623.9557,74434,Queens County,2000.0,222.0,1.6094379124341003,10.0,"(6, 72]",10.56162797694134,7.600902459542082,5.402677381872279,10.703157919352707,-0.14152994241136696
78,78,11356,67807.8323,20443,Queens County,2275.0,58.0,0.0,0.0,0,11.124432987905458,7.729735331385051,4.060443010546419,11.033157654028196,0.09127533387726139
79,79,11357,74096.6311,39650,Queens County,2500.0,77.0,0.0,0.0,0,11.21312534601313,7.824046010856292,4.343805421853684,11.051239668701427,0.16188567731170345
80,80,11358,66312.1712,37044,Queens County,2200.0,156.0,1.0986122886681098,0.0,0,11.10212873700286,7.696212639346407,5.049856007249537,10.92349672268981,0.17863201431304887
81,81,11360,72853.7515,18363,Queens County,2650.0,22.0,1.0986122886681098,0.0,0,11.196209306522587,7.882314918980268,3.091042453358316,11.149066873825365,0.04714243269722118
82,82,11361,70983.2093,28648,Queens County,2200.0,133.0,0.6931471805599453,0.0,0,11.17019863932319,7.696212639346407,4.890349128221754,10.960756117111432,0.20944252221175752
83,83,11365,61097.32,37503,Queens County,2500.0,54.0,1.9459101490553132,0.0,0,11.02022328167724,7.824046010856292,3.9889840465642745,11.014856613362587,0.0053666683146520455
84,84,11367,53564.6755,39791,Queens County,1900.0,53.0,1.9459101490553132,0.0,0,10.888645090618008,7.549609165154532,3.970291913552122,10.766990958004408,0.12165413261359959
85,85,11374,49707.9331,39224,Queens County,1850.0,95.0,0.6931471805599453,7.0,"(6, 72]",10.813919819065159,7.52294091807237,4.553876891600541,10.773615650652395,0.04030416841276363
86,86,11375,69446.0737,70142,Queens County,2022.5,209.0,1.3862943611198906,11.0,"(6, 72]",11.148305812387107,7.612089648932646,5.342334251964811,10.732351315056768,0.41595449733033973
87,87,11385,47469.8714,95262,Queens County,2200.0,292.0,0.6931471805599453,2.0,"(0, 6]",10.767850502462275,7.696212639346407,5.676753802268282,10.737199533111433,0.03065096935084277
88,88,11432,50291.2065,54915,Queens County,2400.0,186.0,0.6931471805599453,22.0,"(6, 72]",10.825585519731288,7.783224016336037,5.225746673713202,10.948756422252755,-0.12317090252146734
