,zipcode,median_income,population,county,median_rent,restaurant_count,recycling_bin_count,num_subway_entrances,subway_bracket,logincome,logrent,logrestaurant,predicted_inc,difference,bronx,kings,newyork,queens
21,10025,65001.2415,96117,New York County,3400.0,232.0,1.0,9.0,"(6, 72]",11.082161648695374,8.131530710604252,5.44673737166631,11.108447025920842,-0.02628537722547009,0,0,1,0
22,10026,31541.8106,25925,New York County,2600.0,88.0,6.0,16.0,"(6, 72]",10.359069265337318,7.863266724009573,4.477336814478207,10.99722673685318,-0.6381574715158607,0,0,1,0
23,10027,38550.3989,57049,New York County,2600.0,169.0,2.0,10.0,"(6, 72]",10.559721726538458,7.863266724009573,5.1298987149230735,10.982374592853176,-0.4226528663147207,0,0,1,0
24,10028,105456.4514,40914,New York County,2895.0,198.0,0.0,16.0,"(6, 72]",11.566053363741538,7.970740390007094,5.288267030694535,11.17538460533421,0.3906687584073296,0,0,1,0
25,10029,32876.522000000004,76271,New York County,3375.0,208.0,3.0,10.0,"(6, 72]",10.400514064986359,8.12415060330663,5.337538079701318,11.123791132013963,-0.7232770670276043,0,0,1,0
26,10030,28525.1218,26058,New York County,1800.0,37.0,4.0,17.0,"(6, 72]",10.258540444659813,7.495541943884256,3.610917912644224,10.7197476612875,-0.4612072166276882,0,0,1,0
27,10031,31526.0287,59450,New York County,2000.0,118.0,1.0,6.0,"(0, 6]",10.358568791545775,7.600902459542082,4.770684624465665,10.767095632591234,-0.4085268410454557,0,0,1,0
28,10032,29535.9721,54744,New York County,1900.0,114.0,3.0,23.0,"(6, 72]",10.293364192692165,7.549609165154532,4.736198448394496,10.693197077343248,-0.39983288465108296,0,0,1,0
29,10033,36462.7783,59049,New York County,1950.0,120.0,0.0,0.0,0,10.504047246645992,7.575584651557793,4.787491742782046,10.76868324304338,-0.2646359963973879,0,0,1,0
30,10034,37865.7046,37785,New York County,1450.0,111.0,6.0,24.0,"(6, 72]",10.541801089588182,7.279318835414621,4.709530201312334,10.446353384754877,0.09544770483330467,0,0,1,0
31,10035,23301.5744,31078,New York County,2115.5,87.0,5.0,8.0,"(6, 72]",10.056276208086436,7.657046470160122,4.465908118654584,10.82184930268414,-0.7655730945977021,0,0,1,0
32,10036,62393.3306,18660,New York County,3450.0,608.0,0.0,0.0,0,11.041213667235038,8.146129510025405,6.410174881966167,11.403569587174234,-0.3623559199391959,0,0,1,0
33,10037,40079.7036,16994,New York County,1725.0,31.0,3.0,9.0,"(6, 72]",10.59862534052182,7.45298232946546,3.4339872044851463,10.73531827074817,-0.13669293022634932,0,0,1,0
34,10038,55937.3774,15435,New York County,3325.0,207.0,3.0,5.0,"(0, 6]",10.931988083282961,8.109224953089955,5.332718793265369,11.31489381894433,-0.3829057356613657,0,0,1,0
35,10040,37107.0105,46585,New York County,1600.0,77.0,0.0,0.0,0,10.521561193008557,7.377758908227872,4.343805421853683,10.637375336481037,-0.11581414347247865,0,0,1,0
36,10065,108154.9505,31500,New York County,4300.0,179.0,1.0,18.0,"(6, 72]",11.591320204721015,8.366370301681654,5.187385805840755,11.530833288031786,0.060486916689232124,0,0,1,0
37,10069,54236.0986,1843,New York County,4100.0,3.0,1.0,6.0,"(0, 6]",10.901101991561225,8.318742252692399,1.0986122886681098,11.588678111556387,-0.687576119995164,0,0,1,0
38,10075,112267.5519,25187,New York County,2750.0,93.0,0.0,0.0,0,11.628640157746124,7.919356190660618,4.532599493153255,11.183192966066173,0.4454471916799534,0,0,1,0
39,10128,105186.9788,59434,New York County,2997.5,148.0,0.0,0.0,0,11.563494795959508,8.00553388690167,4.997212273764115,11.143682753816345,0.4198120421431639,0,0,1,0
40,10280,98937.8355,4298,New York County,3500.0,30.0,4.0,4.0,"(0, 6]",11.502247007647311,8.160518247477505,3.4011973816621555,11.37476148219231,0.1274855254549987,0,0,1,0
41,10458,25642.1721,77840,Bronx County,1425.0,193.0,12.0,11.0,"(6, 72]",10.151993622735079,7.261927092702751,5.2626901889048865,10.162307551533447,-0.010313928798368009,1,0,0,0
42,10461,47715.8304,48081,Bronx County,1699.0,156.0,4.0,11.0,"(6, 72]",10.773018496032202,7.4377951216719325,5.049856007249537,10.595298454487274,0.17772004154493004,1,0,0,0
